ID,Date,Timestamp,Day_of_week,Car_count,compare_left,compare_opp,compare_right,predicted_count,decision,
1,2020-09-23,0.01,0,2,-1,1,1,,,0=right
2,2020-09-23,0.02,0,2,1,-1,1,,,1=right&straight
3,2020-09-23,0.03,0,2,1,1,-1,,,2=straight
4,2020-09-23,0.04,0,3,-1,0,1,,,3=left&straight
5,2020-09-23,0.05,0,3,0,-1,1,,,4=left
6,2020-09-23,0.06,0,3,1,-1,0,,,5=no movement
7,2020-09-23,0.07,0,3,1,-1,0,,,
8,2020-09-23,0.08,0,3,0,-1,1,,,
9,2020-09-23,0.09,0,5,1,1,-1,,,
10,2020-09-23,0.1,0,5,1,-1,1,,,
11,2020-09-23,0.11,0,5,-1,1,1,,,
12,2020-09-23,0.12,0,5,1,1,-1,,,
13,2020-09-23,0.13,0,5,0,-1,1,,,
14,2020-09-23,0.14,0,6,-1,1,1,,,
15,2020-09-23,0.15,0,7,1,1,-1,,,
16,2020-09-23,0.16,0,7,1,-1,1,,,
17,2020-09-23,0.17,0,7,1,-1,1,,,
18,2020-09-23,0.18,0,8,1,1,-1,,,
19,2020-09-23,0.19,0,8,-1,1,1,,,
20,2020-09-23,0.2,0,6,1,-1,1,,,
21,2020-09-23,0.21,0,6,1,1,-1,,,
22,2020-09-23,0.22,0,4,-1,1,1,,,
23,2020-09-23,0.23,0,4,1,-1,1,,,
24,2020-09-23,0.24,0,4,1,1,-1,,,
25,2020-09-23,0.25,0,4,-1,1,1,,,
26,2020-09-23,0.26,0,4,1,-1,1,,,
27,2020-09-23,0.27,0,5,1,1,-1,,,
28,2020-09-23,0.28,0,5,-1,1,1,,,
29,2020-09-23,0.29,0,3,1,-1,1,,,
30,2020-09-23,0.3,0,3,1,1,-1,,,
31,2020-09-23,0.31,0,3,-1,1,1,,,
32,2020-09-23,0.32,0,3,1,-1,1,,,
33,2020-09-23,0.33,0,2,1,1,-1,,,
34,2020-09-23,0.34,0,2,-1,1,1,,,
35,2020-09-23,0.35,0,2,1,-1,1,,,
36,2020-09-23,0.36,0,2,1,1,-1,,,
37,2020-09-23,0.37,0,5,-1,1,1,,,
38,2020-09-23,0.38,0,5,1,-1,1,,,
39,2020-09-23,0.39,0,5,1,1,-1,,,
40,2020-09-23,0.4,0,6,-1,1,1,,,
41,2020-09-23,0.41,0,6,1,-1,1,,,
42,2020-09-23,0.42,0,6,1,1,-1,,,
43,2020-09-23,0.43,0,7,-1,1,1,,,
44,2020-09-23,0.44,0,5,1,-1,1,,,
45,2020-09-23,0.45,0,5,1,1,-1,,,
46,2020-09-23,0.46,0,5,-1,1,1,,,
47,2020-09-23,0.47,0,5,1,-1,1,,,
48,2020-09-23,0.48,0,4,1,1,-1,,,
49,2020-09-23,0.49,0,4,-1,1,1,,,
50,2020-09-23,0.5,0,3,1,-1,1,,,
51,2020-09-23,0.51,0,3,1,1,-1,,,
52,2020-09-23,0.52,0,3,-1,1,1,,,
53,2020-09-23,0.53,0,3,1,-1,1,,,
54,2020-09-23,0.54,0,3,1,1,-1,,,
55,2020-09-23,0.55,0,6,-1,1,1,,,
56,2020-09-23,0.56,0,6,1,-1,1,,,
57,2020-09-23,0.57,0,6,1,1,-1,,,
58,2020-09-23,0.58,0,6,-1,1,1,,,
59,2020-09-23,0.59,0,6,1,-1,1,,,
60,2020-09-23,1,0,6,1,1,-1,,,
61,2020-09-23,1.01,0,2,-1,1,1,,,
62,2020-09-23,1.02,0,2,1,-1,1,,,
63,2020-09-23,1.03,0,2,1,1,-1,,,
64,2020-09-23,1.04,0,3,-1,1,1,,,
65,2020-09-23,1.05,0,3,1,-1,1,,,
66,2020-09-23,1.06,0,3,1,1,-1,,,
67,2020-09-23,1.07,0,3,-1,1,1,,,
68,2020-09-23,1.08,0,3,1,-1,1,,,
69,2020-09-23,1.09,0,5,1,1,-1,,,
70,2020-09-23,1.1,0,5,-1,1,1,,,
71,2020-09-23,1.11,0,5,1,-1,1,,,
72,2020-09-23,1.12,0,5,1,1,-1,,,
73,2020-09-23,1.13,0,5,-1,1,1,,,
74,2020-09-23,1.14,0,6,1,-1,1,,,
75,2020-09-23,1.15,0,7,1,1,-1,,,
76,2020-09-23,1.16,0,7,-1,1,1,,,
77,2020-09-23,1.17,0,7,1,-1,1,,,
78,2020-09-23,1.18,0,8,1,1,-1,,,
79,2020-09-23,1.19,0,8,-1,1,1,,,
80,2020-09-23,1.2,0,6,1,-1,1,,,
81,2020-09-23,1.21,0,6,1,1,-1,,,
82,2020-09-23,1.22,0,4,-1,1,1,,,
83,2020-09-23,1.23,0,4,1,-1,1,,,
84,2020-09-23,1.24,0,4,1,1,-1,,,
85,2020-09-23,1.25,0,4,-1,1,1,,,
86,2020-09-23,1.26,0,4,1,-1,1,,,
87,2020-09-23,1.27,0,5,1,1,-1,,,
88,2020-09-23,1.28,0,5,-1,1,1,,,
89,2020-09-23,1.29,0,3,1,-1,1,,,
90,2020-09-23,1.3,0,3,1,1,-1,,,
91,2020-09-23,1.31,0,3,-1,1,1,,,
92,2020-09-23,1.32,0,3,1,-1,1,,,
93,2020-09-23,1.33,0,2,1,1,-1,,,
94,2020-09-23,1.34,0,2,-1,1,1,,,
95,2020-09-23,1.35,0,2,1,-1,1,,,
96,2020-09-23,1.36,0,2,1,1,-1,,,
97,2020-09-23,1.37,0,5,-1,1,1,,,
98,2020-09-23,1.38,0,5,1,-1,1,,,
99,2020-09-23,1.39,0,5,1,1,-1,,,
100,2020-09-23,1.4,0,6,-1,1,1,,,
101,2020-09-23,1.41,0,6,1,-1,1,,,
102,2020-09-23,1.42,0,6,1,1,-1,,,
103,2020-09-23,1.43,0,7,-1,1,1,,,
104,2020-09-23,1.44,0,5,1,-1,1,,,
105,2020-09-23,1.45,0,5,1,1,-1,,,
106,2020-09-23,1.46,0,5,-1,1,1,,,
107,2020-09-23,1.47,0,5,1,-1,1,,,
108,2020-09-23,1.48,0,4,1,1,-1,,,
109,2020-09-23,1.49,0,4,-1,1,1,,,
110,2020-09-23,1.5,0,3,1,-1,1,,,
111,2020-09-23,1.51,0,3,1,1,-1,,,
112,2020-09-23,1.52,0,3,-1,1,1,,,
113,2020-09-23,1.53,0,3,1,-1,1,,,
114,2020-09-23,1.54,0,3,1,1,-1,,,
115,2020-09-23,1.55,0,6,-1,1,1,,,
116,2020-09-23,1.56,0,6,1,-1,1,,,
117,2020-09-23,1.57,0,6,1,1,-1,,,
118,2020-09-23,1.58,0,6,-1,1,1,,,
119,2020-09-23,1.59,0,6,1,-1,1,,,
120,2020-09-23,2,0,6,1,1,-1,,,
121,2020-09-23,2.01,0,2,-1,1,1,,,
122,2020-09-23,2.02,0,2,1,-1,1,,,
123,2020-09-23,2.03,0,2,1,1,-1,,,
124,2020-09-23,2.04,0,3,-1,1,1,,,
125,2020-09-23,2.05,0,3,1,-1,1,,,
126,2020-09-23,2.06,0,3,1,1,-1,,,
127,2020-09-23,2.07,0,3,-1,1,1,,,
128,2020-09-23,2.08,0,3,1,-1,1,,,
129,2020-09-23,2.09,0,5,1,1,-1,,,
130,2020-09-23,2.1,0,5,-1,1,1,,,
131,2020-09-23,2.11,0,5,1,-1,1,,,
132,2020-09-23,2.12,0,5,1,1,-1,,,
133,2020-09-23,2.13,0,5,-1,1,1,,,
134,2020-09-23,2.14,0,6,1,-1,1,,,
