ID,Timestamp,,Car_count,compare_left,compare_opp,compare_right,predicted_count,decision,
1,23-09-2020 00:00,,2,-1,1,1,,,0=right
2,23-09-2020 00:01,,2,1,-1,1,,,1=right&straight
3,23-09-2020 00:02,,2,1,1,-1,,,2=straight
4,23-09-2020 00:03,,3,-1,0,1,,,3=left&straight
5,23-09-2020 00:04,,3,0,-1,1,,,4=left
6,23-09-2020 00:05,,3,1,-1,0,,,5=no movement
7,23-09-2020 00:06,,3,1,-1,0,,,
8,23-09-2020 00:07,,3,0,-1,1,,,
9,23-09-2020 00:08,,5,1,1,-1,,,
10,23-09-2020 00:09,,5,1,-1,1,,,
11,23-09-2020 00:10,,5,-1,1,1,,,
12,23-09-2020 00:11,,5,1,1,-1,,,
13,23-09-2020 00:12,,5,0,-1,1,,,
14,23-09-2020 00:13,,6,-1,1,1,,,
15,23-09-2020 00:14,,7,1,1,-1,,,
16,23-09-2020 00:15,,7,1,-1,1,,,
17,23-09-2020 00:16,,7,1,-1,1,,,
18,23-09-2020 00:17,,8,1,1,-1,,,
19,23-09-2020 00:18,,8,-1,1,1,,,
20,23-09-2020 00:19,,6,1,-1,1,,,
21,23-09-2020 00:20,,6,1,1,-1,,,
22,23-09-2020 00:21,,4,-1,1,1,,,
23,23-09-2020 00:22,,4,1,-1,1,,,
24,23-09-2020 00:23,,4,1,1,-1,,,
25,23-09-2020 00:24,,4,-1,1,1,,,
26,23-09-2020 00:25,,4,1,-1,1,,,
27,23-09-2020 00:26,,5,1,1,-1,,,
28,23-09-2020 00:27,,5,-1,1,1,,,
29,23-09-2020 00:28,,3,1,-1,1,,,
30,23-09-2020 00:29,,3,1,1,-1,,,
31,23-09-2020 00:30,,3,-1,1,1,,,
32,23-09-2020 00:31,,3,1,-1,1,,,
33,23-09-2020 00:32,,2,1,1,-1,,,
34,23-09-2020 00:33,,2,-1,1,1,,,
35,23-09-2020 00:34,,2,1,-1,1,,,
36,23-09-2020 00:35,,2,1,1,-1,,,
37,23-09-2020 00:36,,5,-1,1,1,,,
38,23-09-2020 00:37,,5,1,-1,1,,,
39,23-09-2020 00:38,,5,1,1,-1,,,
40,23-09-2020 00:39,,6,-1,1,1,,,
41,23-09-2020 00:40,,6,1,-1,1,,,
42,23-09-2020 00:41,,6,1,1,-1,,,
43,23-09-2020 00:42,,7,-1,1,1,,,
44,23-09-2020 00:43,,5,1,-1,1,,,
45,23-09-2020 00:44,,5,1,1,-1,,,
46,23-09-2020 00:45,,5,-1,1,1,,,
47,23-09-2020 00:46,,5,1,-1,1,,,
48,23-09-2020 00:47,,4,1,1,-1,,,
49,23-09-2020 00:48,,4,-1,1,1,,,
50,23-09-2020 00:49,,3,1,-1,1,,,
51,23-09-2020 00:50,,3,1,1,-1,,,
52,23-09-2020 00:51,,3,-1,1,1,,,
53,23-09-2020 00:52,,3,1,-1,1,,,
54,23-09-2020 00:53,,3,1,1,-1,,,
55,23-09-2020 00:54,,6,-1,1,1,,,
56,23-09-2020 00:55,,6,1,-1,1,,,
57,23-09-2020 00:56,,6,1,1,-1,,,
58,23-09-2020 00:57,,6,-1,1,1,,,
59,23-09-2020 00:58,,6,1,-1,1,,,
60,23-09-2020 00:59,,6,1,1,-1,,,
61,23-09-2020 01:00,,2,-1,1,1,,,
62,23-09-2020 01:01,,2,1,-1,1,,,
63,23-09-2020 01:02,,2,1,1,-1,,,
64,23-09-2020 01:03,,3,-1,1,1,,,
65,23-09-2020 01:04,,3,1,-1,1,,,
66,23-09-2020 01:05,,3,1,1,-1,,,
67,23-09-2020 01:06,,3,-1,1,1,,,
68,23-09-2020 01:07,,3,1,-1,1,,,
69,23-09-2020 01:08,,5,1,1,-1,,,
70,23-09-2020 01:09,,5,-1,1,1,,,
71,23-09-2020 01:10,,5,1,-1,1,,,
72,23-09-2020 01:11,,5,1,1,-1,,,
73,23-09-2020 01:12,,5,-1,1,1,,,
74,23-09-2020 01:13,,6,1,-1,1,,,
75,23-09-2020 01:14,,7,1,1,-1,,,
76,23-09-2020 01:15,,7,-1,1,1,,,
